ad_id,title,description,image_url
128,Clearance Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+128
129,Trending Now,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+129
130,Just Dropped,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+130
131,Mega Discount,Best deals for this season,https://via.placeholder.com/150?text=Ad+131
132,Trending Now,New users get extra cashback,https://via.placeholder.com/150?text=Ad+132
133,Clearance Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+133
134,Flash Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+134
135,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+135
136,Limited Offer,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+136
137,Limited Offer,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+137
138,Flash Sale,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+138
139,Editor's Pick,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+139
140,Buy 1 Get 1,New users get extra cashback,https://via.placeholder.com/150?text=Ad+140
141,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+141
142,Trending Now,New users get extra cashback,https://via.placeholder.com/150?text=Ad+142
143,Limited Offer,Limited stock remaining,https://via.placeholder.com/150?text=Ad+143
144,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+144
145,Editor's Pick,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+145
146,Clearance Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+146
147,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+147
148,New Collection,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+148
149,Trending Now,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+149
150,Clearance Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+150
151,Hot Deals,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+151
152,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+152
153,Clearance Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+153
154,New Collection,Limited stock remaining,https://via.placeholder.com/150?text=Ad+154
155,Buy 1 Get 1,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+155
156,Flash Sale,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+156
157,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+157
158,Buy 1 Get 1,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+158
159,Limited Offer,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+159
160,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+160
161,Clearance Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+161
162,New Collection,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+162
163,Hot Deals,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+163
164,Editor's Pick,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+164
165,Trending Now,New users get extra cashback,https://via.placeholder.com/150?text=Ad+165
166,Trending Now,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+166
167,Clearance Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+167
168,Mega Discount,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+168
169,Mega Discount,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+169
170,New Collection,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+170
171,Mega Discount,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+171
172,Clearance Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+172
173,Trending Now,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+173
174,Flash Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+174
175,New Collection,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+175
176,Hot Deals,Limited stock remaining,https://via.placeholder.com/150?text=Ad+176
177,Editor's Pick,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+177
178,Just Dropped,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+178
179,Limited Offer,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+179
180,Hot Deals,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+180
181,Clearance Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+181
182,Limited Offer,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+182
183,Trending Now,Limited stock remaining,https://via.placeholder.com/150?text=Ad+183
184,Mega Discount,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+184
185,Editor's Pick,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+185
186,Hot Deals,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+186
187,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+187
188,Just Dropped,Limited stock remaining,https://via.placeholder.com/150?text=Ad+188
189,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+189
190,Editor's Pick,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+190
191,Editor's Pick,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+191
192,Limited Offer,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+192
193,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+193
194,Limited Offer,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+194
195,Buy 1 Get 1,New users get extra cashback,https://via.placeholder.com/150?text=Ad+195
196,Editor's Pick,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+196
197,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+197
198,Buy 1 Get 1,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+198
199,New Collection,Best deals for this season,https://via.placeholder.com/150?text=Ad+199
200,Limited Offer,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+200
201,Limited Offer,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+201
202,Editor's Pick,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+202
203,Trending Now,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+203
204,Limited Offer,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+204
205,Mega Discount,Best deals for this season,https://via.placeholder.com/150?text=Ad+205
206,Buy 1 Get 1,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+206
207,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+207
208,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+208
209,Trending Now,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+209
210,Trending Now,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+210
211,Hot Deals,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+211
212,Hot Deals,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+212
213,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+213
214,Just Dropped,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+214
215,Hot Deals,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+215
216,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+216
217,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+217
218,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+218
219,Flash Sale,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+219
220,Trending Now,Limited stock remaining,https://via.placeholder.com/150?text=Ad+220
221,Flash Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+221
222,Trending Now,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+222
223,Mega Discount,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+223
224,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+224
225,Mega Discount,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+225
226,Clearance Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+226
227,Trending Now,Limited stock remaining,https://via.placeholder.com/150?text=Ad+227
228,Flash Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+228
229,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+229
230,New Collection,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+230
231,Just Dropped,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+231
232,Just Dropped,Limited stock remaining,https://via.placeholder.com/150?text=Ad+232
233,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+233
234,Limited Offer,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+234
235,Limited Offer,Best deals for this season,https://via.placeholder.com/150?text=Ad+235
236,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+236
237,Mega Discount,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+237
238,Flash Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+238
239,Clearance Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+239
240,New Collection,Best deals for this season,https://via.placeholder.com/150?text=Ad+240
241,Buy 1 Get 1,Limited stock remaining,https://via.placeholder.com/150?text=Ad+241
242,Flash Sale,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+242
243,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+243
244,Hot Deals,Limited stock remaining,https://via.placeholder.com/150?text=Ad+244
245,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+245
246,Trending Now,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+246
247,Buy 1 Get 1,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+247
248,Flash Sale,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+248
249,Flash Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+249
250,Clearance Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+250
251,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+251
252,Buy 1 Get 1,Best deals for this season,https://via.placeholder.com/150?text=Ad+252
253,Flash Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+253
254,New Collection,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+254
255,Mega Discount,Best deals for this season,https://via.placeholder.com/150?text=Ad+255
256,Buy 1 Get 1,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+256
257,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+257
258,Clearance Sale,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+258
259,Clearance Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+259
260,Limited Offer,New users get extra cashback,https://via.placeholder.com/150?text=Ad+260
261,Limited Offer,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+261
262,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+262
263,Mega Discount,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+263
264,Flash Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+264
265,Buy 1 Get 1,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+265
266,Clearance Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+266
267,New Collection,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+267
268,Editor's Pick,New users get extra cashback,https://via.placeholder.com/150?text=Ad+268
269,Trending Now,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+269
270,Just Dropped,Limited stock remaining,https://via.placeholder.com/150?text=Ad+270
271,Trending Now,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+271
272,Buy 1 Get 1,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+272
273,New Collection,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+273
274,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+274
275,Editor's Pick,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+275
276,Hot Deals,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+276
277,Clearance Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+277
278,Mega Discount,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+278
279,Flash Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+279
280,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+280
281,Hot Deals,New users get extra cashback,https://via.placeholder.com/150?text=Ad+281
282,Clearance Sale,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+282
283,Just Dropped,New users get extra cashback,https://via.placeholder.com/150?text=Ad+283
284,New Collection,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+284
285,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+285
286,Limited Offer,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+286
287,Hot Deals,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+287
288,Limited Offer,New users get extra cashback,https://via.placeholder.com/150?text=Ad+288
289,Limited Offer,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+289
290,Limited Offer,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+290
291,Limited Offer,Limited stock remaining,https://via.placeholder.com/150?text=Ad+291
292,Buy 1 Get 1,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+292
293,Flash Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+293
294,New Collection,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+294
295,New Collection,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+295
296,Trending Now,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+296
297,Clearance Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+297
298,Clearance Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+298
299,Flash Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+299
300,New Collection,Best deals for this season,https://via.placeholder.com/150?text=Ad+300
301,New Collection,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+301
302,Limited Offer,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+302
303,Clearance Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+303
304,Buy 1 Get 1,Limited stock remaining,https://via.placeholder.com/150?text=Ad+304
305,Buy 1 Get 1,Limited stock remaining,https://via.placeholder.com/150?text=Ad+305
306,Buy 1 Get 1,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+306
307,New Collection,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+307
308,New Collection,New users get extra cashback,https://via.placeholder.com/150?text=Ad+308
309,Mega Discount,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+309
310,Limited Offer,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+310
311,Limited Offer,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+311
312,Hot Deals,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+312
313,New Collection,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+313
314,New Collection,Limited stock remaining,https://via.placeholder.com/150?text=Ad+314
315,Editor's Pick,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+315
316,New Collection,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+316
317,Mega Discount,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+317
318,New Collection,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+318
319,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+319
320,Mega Discount,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+320
321,Buy 1 Get 1,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+321
322,Flash Sale,New users get extra cashback,https://via.placeholder.com/150?text=Ad+322
323,Mega Discount,Limited stock remaining,https://via.placeholder.com/150?text=Ad+323
324,Flash Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+324
325,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+325
326,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+326
327,Trending Now,Limited stock remaining,https://via.placeholder.com/150?text=Ad+327
328,Just Dropped,New users get extra cashback,https://via.placeholder.com/150?text=Ad+328
329,Clearance Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+329
330,Editor's Pick,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+330
